pos,signal,snr,fspl,label
481,-106,-8.199999809,-99.97765064,1
482,-113,-5.800000191,-103.8772242,1
483,-104,-6.199999809,-102.0918051,1
484,-121,-10.19999981,-101.7656269,1
485,-105,-7.199999809,-99.97765064,1
486,-113,-3.200000048,-103.8772242,1
487,-118,-13.5,-102.0918051,1
488,-105,-7.800000191,-99.97765064,1
489,-114,-6.199999809,-103.8772242,1
490,-120,-8.199999809,-101.7656269,1
491,-102,-10.5,-102.0918051,1
492,-109,6.199999809,-103.8772242,1
493,-102,-6.800000191,-102.0918051,1
494,-117,-9.800000191,-102.0918051,1
495,-103,-10.19999981,-99.97765064,1
496,-111,-9,-97.77328019,1
497,-118,-4.800000191,-101.7656269,1
498,-109,5.199999809,-103.8772242,1
499,-117,-7,-102.0918051,1
500,-102,-7.800000191,-102.0918051,1
501,-103,-11.5,-99.97765064,1
502,-101,-8.800000191,-102.0918051,1
503,-117,-12,-102.0918051,1
504,-105,-8,-97.77328019,1
505,-102,-10,-99.97765064,1
506,-112,-0.200000003,-103.8772242,1
507,-108,-14.19999981,-103.9765492,1
508,-102,-9.5,-102.0918051,1
509,-120,-4,-101.7656269,1
510,-118,-4.800000191,-97.77328019,1
511,-121,-11.5,-101.7656269,1
512,-103,-6.5,-102.0918051,1
513,-115,1,-103.8772242,1
514,-103,-10.5,-99.97765064,1
515,-108,-9.199999809,-97.95068396,1
516,-109,-12,-103.1325217,1
517,-116,-8.5,-101.7656269,1
518,-106,-9.800000191,-99.97765064,1
519,-102,-6.199999809,-102.0918051,1
520,-117,-7.199999809,-102.0918051,1
521,-90,5,-103.8772242,1
522,-109,2.799999952,-103.8772242,1
523,-119,-4.5,-101.7656269,1
524,-104,-9.199999809,-102.0918051,1
525,-119,-11.80000019,-102.0918051,1
526,-105,-7,-99.97765064,1
527,-103,-7,-102.0918051,1
528,-117,-10,-102.0918051,1
529,-109,5.800000191,-103.8772242,1
530,-119,-7,-101.7656269,1
531,-117,-14.5,-103.5637284,1
532,-102,-7.5,-102.0918051,1
533,-103,-12,-99.97765064,1
534,-120,-8,-97.95068396,1
535,-116,-8.5,-102.0918051,1
536,-125,-4,-97.77328019,1
537,-105,-10.80000019,-88.33870188,1
538,-105,-16,-88.33870188,1
539,-106,-16.20000076,-88.33870188,1
540,-104,-7.800000191,-88.33870188,1
541,-104,-11.19999981,-88.33870188,1
542,-103,-14,-88.33870188,1
543,-103,-7.199999809,-88.33870188,1
544,-11,11,-119.5188519,0
545,-5,12.5,-112.7408953,0
546,-17,9.5,-119.5151476,0
547,-7,9.800000191,-119.5188519,0
548,-19,11.19999981,-112.7408953,0
549,-15,11.5,-119.5151476,0
550,-19,12.5,-112.7408953,0
551,-12,12.5,-119.5151476,0
552,5,10.80000019,-119.5188519,0
553,-16,11,-112.7408953,0
554,7,9.800000191,-119.5188519,0
555,-11,10.19999981,-119.5151476,0
556,-61,11.80000019,-82.5552521,0
557,-96,8.800000191,-89.57541606,0
558,-95,12,-84.75507686,0
559,-97,10.19999981,-89.68208698,0
560,-60,13.19999981,-82.5552521,0
561,-59,12.80000019,-82.5552521,0
562,-93,10.19999981,-89.68208698,0
563,-96,8.800000191,-89.57541606,0
564,-89,11.5,-84.75507686,0
565,-61,13,-82.5552521,0
566,-95,10,-89.57541606,0
567,-91,12.5,-84.75507686,0
568,-98,10.5,-89.57541606,0
569,-89,8.5,-84.75507686,0
570,-60,10.5,-82.5552521,0
571,-96,11.80000019,-89.57541606,0
572,-87,11,-84.75507686,0
573,-59,13,-82.5552521,0
574,-91,10.80000019,-89.68208698,0
575,-89,10.80000019,-84.75507686,0
576,-58,11,-82.5552521,0
577,-99,9.800000191,-89.68208698,0
578,-67,12.5,-82.5552521,0
579,-97,9,-84.75507686,0
580,-105,11.19999981,-89.57541606,0
581,-89,12.19999981,-84.75507686,0
582,-58,10.80000019,-82.5552521,0
583,-93,9.5,-89.68208698,0
584,-58,8.199999809,-82.5552521,0
585,-95,8.199999809,-89.57541606,0
586,-93,7.800000191,-89.68208698,0
587,-60,11.19999981,-82.5552521,0
588,-91,11.80000019,-84.75507686,0
589,-96,8,-89.68208698,0
590,-94,8.199999809,-89.57541606,0
591,-93,9.199999809,-84.75507686,0
592,-61,8.800000191,-82.5552521,0
593,-59,13.19999981,-82.5552521,0
594,-96,9.5,-89.57541606,0
595,-107,10,-89.57541606,0
596,-99,11,-89.68208698,0
597,-97,9.5,-84.75507686,0
598,-65,12.80000019,-82.5552521,0
599,-90,10.80000019,-84.75507686,0
600,-59,12,-82.5552521,0
601,-92,10,-89.68208698,0
602,-67,13,-82.5552521,0
603,-95,9.199999809,-89.57541606,0
604,-60,12.80000019,-82.5552521,0
605,-89,12,-84.75507686,0
606,-94,9,-89.57541606,0
607,-63,12.5,-82.5552521,0
608,-92,10,-89.68208698,0
609,-93,10.5,-84.75507686,0
610,-60,10,-82.5552521,0
611,-103,11.80000019,-89.57541606,0
612,-90,11.5,-84.75507686,0
613,-95,9.800000191,-89.57541606,0
614,-60,12.5,-82.5552521,0
615,-60,12,-82.5552521,0
616,-96,9.800000191,-89.57541606,0
617,-58,8.800000191,-82.5552521,0
618,-95,7.800000191,-89.57541606,0
619,-97,10.19999981,-89.68208698,0
620,-63,12.19999981,-82.5552521,0
621,-98,10.80000019,-89.57541606,0
622,-95,9.5,-89.57541606,0
623,-58,10.80000019,-82.5552521,0
624,-89,12.80000019,-84.75507686,0
625,-63,12.5,-82.5552521,0
626,-102,9.5,-89.57541606,0
627,-89,12.19999981,-84.75507686,0
628,-58,8.5,-82.5552521,0
629,-89,8,-84.75507686,0
630,-95,7.800000191,-89.68208698,0
631,-54,9,-82.5552521,0
632,-86,7.5,-84.75507686,0
633,-60,12.80000019,-82.5552521,0
634,-98,12,-89.57541606,0
635,-97,10.19999981,-89.68208698,0
636,-91,12,-84.75507686,0
637,-59,9.5,-82.5552521,0
638,-92,11.80000019,-84.75507686,0
639,-94,9.5,-89.68208698,0
640,-98,11.80000019,-89.57541606,0
641,-60,13,-82.5552521,0
642,-99,10.19999981,-89.57541606,0
643,-91,9.5,-84.75507686,0
644,-97,12,-89.57541606,0
645,-96,10.19999981,-89.68208698,0
646,-60,12.19999981,-82.5552521,0
647,-94,8,-89.68208698,0
648,-96,7.800000191,-89.57541606,0
649,-61,9,-82.5552521,0
650,-95,8.800000191,-89.68208698,0
651,-59,12.5,-82.5552521,0
652,-61,11.19999981,-82.5552521,0
653,-93,9.5,-84.75507686,0
654,-97,9,-89.57541606,0
655,-95,8.800000191,-89.57541606,0
656,-89,9.5,-84.75507686,0
657,-59,11.5,-82.5552521,0
658,-95,13.5,-89.68208698,0
659,-47,11.80000019,-87.79852001,0
660,-72,10.5,-84.49557027,0
661,-111,6.5,-83.488743,0
662,-71,8.5,-84.49557027,0
663,-45,8.199999809,-87.79852001,0
664,-112,8.800000191,-83.488743,0
665,-46,12.5,-87.79852001,0
666,-72,12.5,-84.49557027,0
667,-77,12.19999981,-84.49557027,0
668,-96,9.800000191,-89.68208698,0
669,-48,11.80000019,-87.79852001,0
670,-114,8.800000191,-83.488743,0
671,-72,12.80000019,-84.49557027,0
672,-45,12,-87.79852001,0
673,-91,10,-89.68208698,0
674,-73,12.5,-84.49557027,0
675,-45,11.5,-87.79852001,0
676,-91,9.800000191,-89.68208698,0
677,-111,7,-83.488743,0
678,-45,11,-87.79852001,0
679,-71,12,-84.49557027,0
680,-91,8.800000191,-89.68208698,0
681,-73,11.5,-84.49557027,0
682,-47,12,-87.79852001,0
683,-46,11.5,-87.79852001,0
684,-69,10.19999981,-84.49557027,0
685,-45,12.19999981,-87.79852001,0
686,-73,10,-84.49557027,0
